file,severity,type,desc
_normalized/tools-hub/prompts/tools-hub-prompt-tool-recommendation.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-troubleshoot-tool.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-alternative-to.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-chatgpt.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-github.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-make.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-notion.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-obsidian.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-privacy-tools.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-product-hunt.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-todoist.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/resources/tools-hub-resource-zapier-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
